[2024-07-03 18:25:10.083] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:25:10.083] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.de9678b6-cf43-4c45-9386-44893a85d42b.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:26:09.946] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:26:09.947] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:26:09.947] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.8450e615-de17-4649-8dcb-992fea750ad1.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:27:10.327] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:27:10.327] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:27:10.328] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.4bac2bbb-db77-45aa-a2a6-2f0885ba7507.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:28:09.757] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:28:09.758] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:28:09.758] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.4c7c3046-3efc-4248-9859-956f470d8386.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:29:09.633] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:29:09.633] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:29:09.634] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.05f25a23-7ada-4159-8e19-827b3b95feec.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:30:10.530] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:30:10.531] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:30:10.531] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.aa81dadc-6b3c-46d4-8fa9-4dc17be63a8c.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:31:09.683] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:31:09.683] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:31:09.684] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.f3268a62-a60f-42bc-b9bc-f38a581458c8.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:32:09.953] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:32:09.953] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:32:09.956] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.6dae0d12-4251-43ef-8196-13bc77090d34.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:32:20.962] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 18:32:20.962] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 18:32:20.963] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.c6f05014-ab97-4656-97ef-efaf8f32b114.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
